编号,类别,角色,问题,标准答案要点,依据来源,禁用词,是否转人工,理想回答,是否需业务确认,审核状态,业务备注,审核人,负责人,审核日期,修正-问题,修正-标准答案要点,修正-依据来源,修正-禁用词,修正-是否转人工,修正-理想回答
fee_001,服务费/费用解释,店员,客户说这个服务费是不是利息，我怎么跟他解释？,"不能称为利息或贷款
应解释为平台服务费
费用以下单页面/系统展示为准
不能承诺交了服务费就一定审核通过或一定发货","服务费
红线","利息
贷款
包过
一定通过
一定发货",否,老板，跟客户别提利息或贷款，这是平台服务费，主要覆盖订单处理、设备管理和后续服务。具体金额以下单页面显示的为准，客户确认再提交，别承诺一定审核通过或一定发货。,否,,,,,,,,,,,
fee_002,服务费/费用解释,加盟商,订单总价是怎么构成的？,"订单总价=手机售价+服务费+50元设备管理费
服务费=手机售价×对应服务费率
每单固定收50元设备管理费","服务费
设备管理费","利息
贷款",否,老板，订单总价=手机售价+服务费+50元设备管理费。服务费=售价×对应档位费率，设备管理费每单固定50元。具体数字以办单页面为准。,否,,,,,,,,,,,
fee_003,服务费/费用解释,店员,6期和12期的月供分别怎么算？,"6期=首付后还5期，月供=(总价-实际首付)÷5
12期=首付后还11期，月供=(总价-实际首付)÷11
不能除以6或12",首付与费用,利息,否,老板记牢：6期是首付后还5期，月供=(总价-实际首付)÷5；12期是首付后还11期，月供=(总价-实际首付)÷11。千万别除以6或12，会算错。,否,,,,,,,,,,,
fee_004,服务费/费用解释,店员,客户资质差首付涨了，多出来的钱去哪了？,"资质差会触发首付上浮
多付的首付从最后一期往前抵扣
客户总支付金额不变",首付与费用,"风控规则是
内部审核标准",否,老板，客户资质差系统会要求提高首付，多付的部分会从最后一期往前抵扣，总金额不变，不用担心多花钱。别跟客户细说内部审核标准。,否,,,,,,,,,,,
fee_005,服务费/费用解释,加盟商,客户想提前结清，要收违约金吗？,"支持提前结清
不收违约金
提前结清可享还款优惠，越早越优惠",还款与结清,,否,老板，支持提前结清，不收违约金，而且越早结清优惠越多，系统会自动核算优惠金额，客户支付宝里能看到。,否,,,,,,,,,,,
fee_006,服务费/费用解释,加盟商,会员服务费和门店结算什么关系？,"结算金额=手机售价-首付金额
首付由门店直接收取
客户在平台付了会员服务费的话，门店实收首付=总首付-会员服务费","结算
首付",,否,老板，结算金额=售价-首付，首付现在是门店直接收。如果客户在小程序/APP付了会员服务费，那门店实收首付要减掉这部分（服务费是客户交给平台的）。具体以系统结算为准。,是,,,,,,,,,,,
order_001,办单流程,店员,完整的租机办单流程是怎样的？,"APP登录后租赁办单、选机型填售价选期数生成二维码
客户支付宝扫码填资料提交
联系订单审核客服看审核结果
通过后加微信、验机、锁机、上传告知书、交付
最后提现","下单与审核
办单流程",,否,老板，流程6步：1)APP登录点租赁办单，选机型填售价选期数生成二维码；2)客户支付宝扫码填资料到提交成功；3)联系订单审核客服看审核结果；4)通过后加微信、验机、锁机(客户机需升到26.2)、拍告知书上传、交付；5)最后提现。,否,,,,,,,,,,,
order_002,办单流程,加盟商,还没签合同能给客户下单吗？,"未签署合同不能下单
需先在店铺中心签订合同并完成人脸识别","合同
入驻",,否,老板，未签合同不能下单。得先在APP【我的】→【店铺中心】→【签订合同】签好，完成人脸识别后才能正常办单。,否,,,,,,,,,,,
order_003,办单流程,加盟商,怎么给店里新增一个营业员？,"只有主账号能添加营业员
主账号登录APP进入我的→店铺中心→营业员信息
填写营业员姓名、手机号、短信验证码后提交",入驻与营业员,,否,老板，用主账号登录APP，点【我的】→【店铺中心】→【营业员信息】，填营业员姓名、手机号和短信验证码，确认后提交就行。注意只有主账号能加。,否,,,,,,,,,,,
order_004,办单流程,店员,客户不在店里，能远程办单吗？,"可以先生成二维码给客户下单
下单后联系审单客服
旧机没有现货不能走PC端
建议客户能接受再上门","pc_order_process
远程",,否,老板，可以远程：先生成二维码给客户扫码下单，下单后联系审单客服，客户能接受了再上门。注意旧机没现货的走不了PC端。具体以系统流程为准。,否,,,,,,,,,,,
