办单流程的问题，（app上的操作，pc端上的操作，验机锁机流程）,回答,触发此回答的关键词,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
锁机没添加成功，添加成功后显示将此iPhone分配给Apple商务管理中的设备管理服务，以配置其注册设置并启用“自动设备注册”。,锁机软件要选择特定v3要点完成，扫码前可以确认一下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
身份验证失败，姓名和证件号码不匹配,"1、下单识别错了，取消后重新下单注意一下姓名可以重新输入的
2、支付宝实名和身份证名字不一致",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
锁了好几次，前面添加成功了，进去后没有锁头,前面很久没有激活进去，导致锁失效了，抹掉激活到wifi页面等商务操作后就可以正常激活了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上门办单,单独拍两张爱思首页+验机报告带日期时间的图片，到时候发给审单客服，记得多带两张告知书，避免客户写错,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六期什么意思？,这个模式简单一点来说，客户付完首付后一共还5期，就是说客户钱够的人，然后比较看重这个费用的人，那你就推六期就好了。六期的费用是最低的，六期里面分为2折、3折、4折，5折，6折。2折就是首付20%起，3折就是30%起，以此类推但是客户资质不好的话会增加首付，增加后的首付会从最后一期往前抵扣 能抵扣多少覆盖多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十二期什么意思？,客户付完首付后还11期。如果这个客户相对言经济比较紧张，他每个月想还款金额少一点，然后预算相对也没有那么多的人。那你让他下12期，12期的首付可以相对低一点，然后月供也低一点，但是费用就相对高一点了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下单流程,"办单流程

① 商家打开自己手机的""手机妈妈APP"",用入驻时的手机号码登录

②点击""手机妈妈APP"",首页点击【租赁办单】,选择手机型号并填写手机售价及期数,点击生成二维码。

③ 出示刚刚生成的二维码,让客户支付宝扫一扫,并填写对应资料，直到【您的订单已提交】

④商家打开""手机妈妈APP""点击最下方“联系客服”,点击""订单审核客服""----点击""审核结果""(包括资料审核或视频审核)

⑤ 审核通过,结算下单客户的首付预算款,并加微信好友;手机验机（版本需要升级到26.2及以上）上锁成功,交付客户。

⑥ 财务结算货款。（指导价内的金额当时提现，超出指导价部分，客户办单日起45天内还款可提现。）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客户下单了,"1、客户付款完成后一直操作到提示你的订单已完成。
2、客户下单成功后，商家或营业员打开生成二维码的【手机妈妈APP】→【联系客服】→【订单审核客服】→点击左上角【审核结果】----就和审单客服对接了",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人工服务,"亲爱的老板们，为了提升服务效率，我们已全面启用【手机妈妈APP统一接待】。

如有任何咨询或需求，欢迎通过【手机妈妈APP】→【联系客服】→【业务咨询顾问】或【售后服务专员】联系我们，

业务顾问团队服务时间：8:30-23:30；售后团队服务时间：8:30-23:30。

微信群消息可能回复较慢，建议您优先使用APP客服通道，沟通更高效哦~",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同一个人办两台手机,原则我们平台是一个人只能办一台的，后面改规则就变成第二台需要首付60%，客户可以把这台结清再办，之前的订单没逾期的话还可以服务费优惠20%。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
什么时候能提现,"1、到店的订单在订单通过后就能在手机妈妈APP→钱包里提现
2、客户办理的是远程订单，需要确认收货后再去提现哦！

确认收货流程：客户的支付宝-手机妈妈-我的-手机订单-确认收货

后台系统默认5天后自动确认收货！",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
只有身份证照片可以吗？,身份证照片，电子身份证，临时身份证都可以--正反面照片清晰 无遮挡 无残缺 不过期哈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
办单年龄？未成年可以办吗？,"现在来办单的客户都需要满足18—50周岁，基本上20%至40%首付可以直接办单，具体根据【后台审核】，后台审核预算不够的可以申请视频审核，视频审核只要客户用机正常，稳定工作，稳定收入。

50-55岁的话首付会高一些，，需视频审核后看视频审核结果",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客户联系不到客服,客户在【手机妈妈APP】、【微信手机妈妈小程序】或【支付宝手机妈妈小程序】联系在线客服就可以啦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
添加营业员,手机妈妈APP登录店铺主账号→我的→店铺中心→营业员信息，填写名字、电话、验证码,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
怎么计算费用,"打开手机妈妈APP→租赁办单
只需填写商品价格并选择期数

系统将自动显示预付首付款与每月还款金额",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提前还款,客户打开自己的【支付宝】→搜索【手机妈妈】并打开小程序→点击【我的】→点击【手机订单】→点击【支付租金】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
为什么审核结果和下单时的不一样？,因为客户资质比较差，所以增加了首付。客户有工作的话可以去视频审核一下看能降低多少。增加首付后的总金额不变，多付的从最后一期开始抵扣，比如多付了500，最后一期就少付500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
开通下载权限,"订单一经通过，将不再开放下载权限，如需下载请客户到店下载。
如需开通权限具体详情请在手机妈妈APP联系售后客服",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
办单时间,办单时间是8.30-23.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客户和我的店铺绑定,"当客户扫了你的手机妈妈APP→我的→右上角二维码→对应的微信码或支付宝码后并登录
客户在我们平台下单有两个选择，一个是门店自提，一个是平台发货。

平台发货是我们发货，订单完成后的一个星期左右给你转差价（订单售价-拿货价-快递费、礼品）

门店自提的话给你转手机售价

上面的前提条件是要客户扫过你的店铺二维码和你绑定！",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手机有问题需要换机,请在手机妈妈APP联系【售后客服】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
没有待审核的订单,客户打开自己的【支付宝】→搜索【手机妈妈】并打开小程序→点击【我的】→点击【手机订单】→点击【首次支付】→【签署代扣】，一直到你的订单已经提交,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
请提供绑定账号的邮箱号,支付宝点击我的，点击右上角设置，点击账号与安全，有个邮箱号，提现的时候填写把这个邮箱号填进去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
此设备受远程管理,"1、屏保上那行小字使用35天左右会自动消失。

2、设置里面上方小字会一直存在，解锁之后抹除或刷机后才会消失，解锁后如果不抹除或刷机，不影响任何功能上的使用。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港版全原能办多少价格,请在手机妈妈APP上联系业务咨询顾问发送爱思两张图+关于本机询价,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手机多少版本能办理,需要更新到26.2以上就可以锁机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
荣耀系列能做吗,"安卓机荣耀系列办理需有花呗额度，可用额度是手机售价的25% 安卓暂时只做荣耀，vivo，荣耀系列首付60%起，可上锁，（除了荣耀，vivo系列，其它安卓机暂时不做哦， 后续会开放，开放的时候会通知的哈 荣耀系列系统需要在8.0以上）




vivo新机旧机都可以做，不看花呗，6期4折、6期6折
目前苹果手机 荣耀手机 VIVO手机 新旧都可以 能做的机型都在APP上了哈",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提前结清还能办理吗,"复购有优惠的
手机妈妈平台的复购、以前没有逾期过的【服务费]都会优惠【20%]，优惠金额会算到最后一期里面，中途不能逾期。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提现多久到账,提现1小时内到账,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客户在平台办过一台还能办理吗,原本我们平台这边是一个人只能办一台的，改规则后变成第二台需要首付60%起，客户可以把这台结清再办的话还可以服务费优惠20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
订单已授权，请不要重复操作,让客户取消订单，把支付宝卸载了重新下载，重新扫码下单，或者把e签宝注销了重新扫码下单，还不行的话让客户换一个支付宝下单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
首付已经支付了，为什么还要付一期,这个是客户信用授权签代扣合同的，不用付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
审核结果首付突然增加,因为客户的风控变了，可以联系审单客服说视频审核一下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客户要导资料,不能在激活的时候导资料，需要在订单通过后用换机助手和百度网盘或者是iCloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
